28 [3, 7, 5, 8, 6, 1, 4, 2, 9]
26 [8, 6, 1, 3, 7, 5, 4, 2, 9]
28 [7, 3, 5, 6, 8, 1, 2, 4, 9]
28 [6, 8, 1, 7, 3, 5, 2, 4, 9]
28 [6, 7, 2, 8, 3, 4, 1, 5, 9]
26 [8, 3, 4, 6, 7, 2, 1, 5, 9]
26 [3, 8, 4, 7, 6, 2, 5, 1, 9]
26 [7, 6, 2, 3, 8, 4, 5, 1, 9]
24 [4, 9, 2, 3, 5, 7, 8, 1, 6]
28 [3, 5, 7, 4, 9, 2, 8, 1, 6]
24 [9, 4, 2, 5, 3, 7, 1, 8, 6]
28 [5, 3, 7, 9, 4, 2, 1, 8, 6]
28 [4, 3, 8, 9, 5, 1, 2, 7, 6]
26 [9, 5, 1, 4, 3, 8, 2, 7, 6]
28 [3, 4, 8, 5, 9, 1, 7, 2, 6]
26 [5, 9, 1, 3, 4, 8, 7, 2, 6]
28 [6, 2, 7, 8, 4, 3, 1, 9, 5]
26 [8, 4, 3, 6, 2, 7, 1, 9, 5]
28 [2, 6, 7, 4, 8, 3, 9, 1, 5]
26 [4, 8, 3, 2, 6, 7, 9, 1, 5]
28 [8, 6, 1, 4, 2, 9, 3, 7, 5]
28 [4, 2, 9, 8, 6, 1, 3, 7, 5]
28 [6, 8, 1, 2, 4, 9, 7, 3, 5]
28 [2, 4, 9, 6, 8, 1, 7, 3, 5]
28 [7, 5, 3, 6, 1, 8, 2, 9, 4]
28 [6, 1, 8, 7, 5, 3, 2, 9, 4]
28 [7, 6, 2, 5, 1, 9, 3, 8, 4]
28 [5, 1, 9, 7, 6, 2, 3, 8, 4]
28 [5, 7, 3, 1, 6, 8, 9, 2, 4]
28 [1, 6, 8, 5, 7, 3, 9, 2, 4]
28 [1, 5, 9, 6, 7, 2, 8, 3, 4]
28 [6, 7, 2, 1, 5, 9, 8, 3, 4]
26 [2, 9, 4, 6, 1, 8, 7, 5, 3]
28 [6, 1, 8, 2, 9, 4, 7, 5, 3]
24 [9, 1, 5, 2, 6, 7, 4, 8, 3]
28 [2, 6, 7, 9, 1, 5, 4, 8, 3]
24 [9, 2, 4, 1, 6, 8, 5, 7, 3]
28 [1, 6, 8, 9, 2, 4, 5, 7, 3]
28 [6, 2, 7, 1, 9, 5, 8, 4, 3]
26 [1, 9, 5, 6, 2, 7, 8, 4, 3]
26 [1, 8, 6, 5, 3, 7, 9, 4, 2]
28 [5, 3, 7, 1, 8, 6, 9, 4, 2]
26 [3, 8, 4, 5, 1, 9, 7, 6, 2]
26 [5, 1, 9, 3, 8, 4, 7, 6, 2]
28 [3, 5, 7, 8, 1, 6, 4, 9, 2]
24 [8, 1, 6, 3, 5, 7, 4, 9, 2]
26 [1, 5, 9, 8, 3, 4, 6, 7, 2]
24 [8, 3, 4, 1, 5, 9, 6, 7, 2]
28 [1, 8, 6, 9, 4, 2, 5, 3, 7]
26 [9, 4, 2, 1, 8, 6, 5, 3, 7]
28 [4, 9, 2, 8, 1, 6, 3, 5, 7]
28 [8, 1, 6, 4, 9, 2, 3, 5, 7]
28 [4, 8, 3, 9, 1, 5, 2, 6, 7]
26 [9, 1, 5, 4, 8, 3, 2, 6, 7]
26 [1, 9, 5, 8, 4, 3, 6, 2, 7]
26 [8, 4, 3, 1, 9, 5, 6, 2, 7]
26 [9, 5, 1, 2, 7, 6, 4, 3, 8]
28 [2, 7, 6, 9, 5, 1, 4, 3, 8]
28 [5, 9, 1, 7, 2, 6, 3, 4, 8]
28 [7, 2, 6, 5, 9, 1, 3, 4, 8]
24 [9, 2, 4, 5, 7, 3, 1, 6, 8]
28 [5, 7, 3, 9, 2, 4, 1, 6, 8]
26 [7, 5, 3, 2, 9, 4, 6, 1, 8]
24 [2, 9, 4, 7, 5, 3, 6, 1, 8]
26 [2, 7, 6, 4, 3, 8, 9, 5, 1]
26 [4, 3, 8, 2, 7, 6, 9, 5, 1]
26 [3, 7, 5, 4, 2, 9, 8, 6, 1]
24 [4, 2, 9, 3, 7, 5, 8, 6, 1]
24 [7, 2, 6, 3, 4, 8, 5, 9, 1]
26 [3, 4, 8, 7, 2, 6, 5, 9, 1]
24 [7, 3, 5, 2, 4, 9, 6, 8, 1]
24 [2, 4, 9, 7, 3, 5, 6, 8, 1]
